HUD frame time nsec:,17368000

Range Index,Elapsed Time, First Event,Last Event
0,115360,35,35
1,124640,49,49
2,283168,63,63
3,377152,77,77
4,178752,91,91
5,62464,105,105
6,45088,119,119
7,111968,151,151
8,29344,161,161
9,51904,171,171
10,66432,181,181
11,19744,191,191
12,19424,201,201
13,40000,211,211
14,35808,241,241
15,35904,251,251
16,45056,261,261
17,53856,271,271
18,19488,281,281
19,13792,291,291
20,24480,301,301
21,26432,331,331
22,26432,341,341
23,37952,351,351
24,48576,361,361
25,19104,371,371
26,8864,381,381
27,21664,391,391
28,15520,421,421
29,3200,431,431
30,24032,441,441
31,41152,451,451
32,12480,461,461
33,3776,471,471
34,16192,481,481
35,627392,497,497
36,500992,513,513
37,250528,528,528
38,145088,543,543
39,748640,559,559
40,114560,574,574
41,148032,589,589
42,7675744,612,612
43,359008,627,627
44,151488,642,642
45,374848,657,657
46,152352,672,672
47,5920,687,687
48,403616,713,713
